tag,link,text
h2,https://www.scrapingcourse.com/ecommerce/,Abominable Hoodie
h2,https://www.scrapingcourse.com/ecommerce/,Adrienne Trek Jacket
h2,https://www.scrapingcourse.com/ecommerce/,Aeon Capri
h2,https://www.scrapingcourse.com/ecommerce/,Aero Daily Fitness Tee
h2,https://www.scrapingcourse.com/ecommerce/,Aether Gym Pant
h2,https://www.scrapingcourse.com/ecommerce/,Affirm Water Bottle
h2,https://www.scrapingcourse.com/ecommerce/,Aim Analog Watch
h2,https://www.scrapingcourse.com/ecommerce/,Ajax Full-Zip Sweatshirt
h2,https://www.scrapingcourse.com/ecommerce/,Ana Running Short
h2,https://www.scrapingcourse.com/ecommerce/,Angel Light Running Short
h2,https://www.scrapingcourse.com/ecommerce/,Antonia Racer Tank
h2,https://www.scrapingcourse.com/ecommerce/,Apollo Running Short
h2,https://www.scrapingcourse.com/ecommerce/,Arcadio Gym Short
h2,https://www.scrapingcourse.com/ecommerce/,Argus All-Weather Tank
h2,https://www.scrapingcourse.com/ecommerce/,Ariel Roll Sleeve Sweatshirt
h2,https://www.scrapingcourse.com/ecommerce/,Artemis Running Short
h1,https://www.scrapingcourse.com/ecommerce/,Shop
h2,https://www.scrapingcourse.com/ecommerce/cart/,You may be interested in…
h2,https://www.scrapingcourse.com/ecommerce/cart/,Your cart is currently empty!
h2,https://www.scrapingcourse.com/ecommerce/cart/,New in store
h1,https://www.scrapingcourse.com/ecommerce/cart/,Cart
h2,https://www.scrapingcourse.com/ecommerce/checkout/,Abominable Hoodie
h2,https://www.scrapingcourse.com/ecommerce/checkout/,Adrienne Trek Jacket
h2,https://www.scrapingcourse.com/ecommerce/checkout/,Aeon Capri
h2,https://www.scrapingcourse.com/ecommerce/checkout/,Aero Daily Fitness Tee
h2,https://www.scrapingcourse.com/ecommerce/checkout/,Aether Gym Pant
h2,https://www.scrapingcourse.com/ecommerce/checkout/,Affirm Water Bottle
h2,https://www.scrapingcourse.com/ecommerce/checkout/,Aim Analog Watch
h2,https://www.scrapingcourse.com/ecommerce/checkout/,Ajax Full-Zip Sweatshirt
h2,https://www.scrapingcourse.com/ecommerce/checkout/,Ana Running Short
h2,https://www.scrapingcourse.com/ecommerce/checkout/,Angel Light Running Short
h2,https://www.scrapingcourse.com/ecommerce/checkout/,Antonia Racer Tank
h2,https://www.scrapingcourse.com/ecommerce/checkout/,Apollo Running Short
h2,https://www.scrapingcourse.com/ecommerce/checkout/,Arcadio Gym Short
h2,https://www.scrapingcourse.com/ecommerce/checkout/,Argus All-Weather Tank
h2,https://www.scrapingcourse.com/ecommerce/checkout/,Ariel Roll Sleeve Sweatshirt
h2,https://www.scrapingcourse.com/ecommerce/checkout/,Artemis Running Short
h1,https://www.scrapingcourse.com/ecommerce/checkout/,Shop
h2,https://www.scrapingcourse.com/ecommerce/my-account/,Login
h1,https://www.scrapingcourse.com/ecommerce/my-account/,My account
h2,https://www.scrapingcourse.com/ecommerce/cart/,You may be interested in…
h2,https://www.scrapingcourse.com/ecommerce/cart/,Your cart is currently empty!
h2,https://www.scrapingcourse.com/ecommerce/cart/,New in store
h1,https://www.scrapingcourse.com/ecommerce/cart/,Cart
h2,https://www.scrapingcourse.com/ecommerce/page/2/,Atlas Fitness Tank
h2,https://www.scrapingcourse.com/ecommerce/page/2/,Atomic Endurance Running Tee (Crew-Neck)
h2,https://www.scrapingcourse.com/ecommerce/page/2/,Atomic Endurance Running Tee (V-neck)
h2,https://www.scrapingcourse.com/ecommerce/page/2/,Augusta Pullover Jacket
h2,https://www.scrapingcourse.com/ecommerce/page/2/,Autumn Pullie
h2,https://www.scrapingcourse.com/ecommerce/page/2/,Balboa Persistence Tee
h2,https://www.scrapingcourse.com/ecommerce/page/2/,Bardot Capri
h2,https://www.scrapingcourse.com/ecommerce/page/2/,Beaumont Summit Kit
h2,https://www.scrapingcourse.com/ecommerce/page/2/,Bella Tank
h2,https://www.scrapingcourse.com/ecommerce/page/2/,Bess Yoga Short
h2,https://www.scrapingcourse.com/ecommerce/page/2/,Bolo Sport Watch
h2,https://www.scrapingcourse.com/ecommerce/page/2/,Breathe-Easy Tank
h2,https://www.scrapingcourse.com/ecommerce/page/2/,Bruno Compete Hoodie
h2,https://www.scrapingcourse.com/ecommerce/page/2/,Caesar Warm-Up Pant
h2,https://www.scrapingcourse.com/ecommerce/page/2/,Carina Basic Capri
h2,https://www.scrapingcourse.com/ecommerce/page/2/,Cassia Funnel Sweatshirt
